epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,923.888,1.69838,0.83544,1.15075,0.73838,0.70535,0.74288,0.32824,1.99167,0.95788,1.30906,0.00131299,0.00131299,0.00131299
43,945.772,1.6935,0.82785,1.17198,0.77079,0.67756,0.71759,0.32959,1.98668,1.01987,1.30749,0.00131016,0.00131016,0.00131016
44,966.414,1.66905,0.82942,1.14989,0.78936,0.68847,0.75566,0.34703,1.999,0.94581,1.32716,0.00130733,0.00130733,0.00130733
45,987.694,1.6604,0.82561,1.15464,0.74755,0.7093,0.73223,0.33454,1.9764,0.94336,1.30696,0.00130451,0.00130451,0.00130451
46,1009.67,1.64758,0.80662,1.1319,0.73127,0.71312,0.75075,0.34317,1.96958,0.93364,1.28599,0.00130168,0.00130168,0.00130168
47,1032.42,1.66111,0.82849,1.14857,0.74316,0.64748,0.69733,0.30292,2.07112,0.95807,1.33841,0.00129885,0.00129885,0.00129885
48,1053.09,1.66414,0.8131,1.14008,0.74676,0.71754,0.71731,0.30961,1.99359,0.9715,1.3032,0.00129602,0.00129602,0.00129602
49,1075.44,1.66738,0.81398,1.14891,0.71742,0.66513,0.67369,0.3031,2.03236,0.97959,1.31892,0.00129319,0.00129319,0.00129319
50,1097.29,1.6698,0.81955,1.14465,0.7198,0.72574,0.74424,0.34825,1.96525,0.92866,1.30217,0.00129036,0.00129036,0.00129036
51,1118.37,1.64686,0.79768,1.1384,0.76656,0.75263,0.75948,0.35891,1.95111,0.9194,1.28594,0.00128753,0.00128753,0.00128753
52,1140.2,1.6578,0.80109,1.14054,0.73842,0.73186,0.76346,0.33949,1.95668,0.91227,1.29413,0.0012847,0.0012847,0.0012847
53,1161.96,1.63292,0.79734,1.13541,0.77351,0.69452,0.74398,0.34215,1.98386,0.92586,1.32256,0.00128187,0.00128187,0.00128187
54,1181.88,1.64105,0.79552,1.13574,0.77996,0.6457,0.72079,0.33017,2.02099,0.94371,1.34091,0.00127904,0.00127904,0.00127904
55,1204.58,1.62539,0.7897,1.1249,0.75959,0.73731,0.77568,0.36635,1.95766,0.91249,1.28651,0.00127621,0.00127621,0.00127621
56,1228.13,1.61291,0.7855,1.13096,0.78129,0.72102,0.74826,0.34808,1.98595,0.9187,1.29525,0.00127338,0.00127338,0.00127338
57,1248.61,1.60859,0.79437,1.12412,0.77346,0.69328,0.73158,0.33936,1.99052,0.95818,1.3109,0.00127055,0.00127055,0.00127055
58,1268.94,1.589,0.77415,1.11089,0.78341,0.71507,0.72878,0.35053,1.95639,0.91657,1.30136,0.00126772,0.00126772,0.00126772
59,1289.71,1.59103,0.7891,1.11794,0.7253,0.73815,0.75434,0.3443,1.94823,0.90645,1.29606,0.00126489,0.00126489,0.00126489
60,1310.4,1.58014,0.77586,1.11147,0.79285,0.67686,0.7608,0.34092,2.04234,0.91793,1.33347,0.00126206,0.00126206,0.00126206
61,1332.68,1.57854,0.77239,1.1183,0.77689,0.68076,0.7129,0.33548,2.04203,0.92876,1.34572,0.00125923,0.00125923,0.00125923
62,1353.22,1.58441,0.77732,1.12123,0.71047,0.70693,0.7248,0.32463,1.98979,0.92508,1.32799,0.00125641,0.00125641,0.00125641
63,1374.89,1.57027,0.76973,1.11249,0.76152,0.7057,0.73152,0.34373,2.00245,0.9379,1.31945,0.00125358,0.00125358,0.00125358
64,1396.24,1.56731,0.77174,1.11611,0.78889,0.67432,0.72137,0.34239,2.00722,0.93162,1.31821,0.00125075,0.00125075,0.00125075
65,1417.36,1.58994,0.78188,1.12249,0.77501,0.67009,0.74444,0.35118,1.98503,0.92071,1.31071,0.00124792,0.00124792,0.00124792
66,1438.65,1.59575,0.77166,1.11305,0.77703,0.70588,0.74014,0.34079,1.99455,0.92732,1.30128,0.00124509,0.00124509,0.00124509
67,1460.12,1.56955,0.76509,1.10354,0.75693,0.69706,0.75652,0.34794,1.97382,0.92012,1.29802,0.00124226,0.00124226,0.00124226
68,1479.98,1.55838,0.75265,1.10897,0.77547,0.70474,0.76372,0.3534,1.97268,0.89607,1.31203,0.00123943,0.00123943,0.00123943
69,1501.17,1.579,0.76949,1.11873,0.74457,0.74932,0.751,0.34732,2.02811,0.92274,1.34721,0.0012366,0.0012366,0.0012366
70,1522.38,1.53202,0.74242,1.10626,0.78966,0.70913,0.76319,0.34952,1.99515,0.90132,1.32665,0.00123377,0.00123377,0.00123377
71,1544.22,1.53909,0.73548,1.10046,0.79353,0.72883,0.77062,0.3308,2.02489,0.91326,1.33913,0.00123094,0.00123094,0.00123094
72,1566.45,1.54351,0.7441,1.09676,0.80917,0.70701,0.7692,0.3456,1.99332,0.93265,1.31624,0.00122811,0.00122811,0.00122811
73,1587.56,1.55478,0.75299,1.1061,0.82366,0.69908,0.74536,0.34959,1.97624,0.9192,1.31477,0.00122528,0.00122528,0.00122528
74,1607.86,1.53669,0.74265,1.10333,0.77091,0.71739,0.75128,0.3581,1.99141,0.90193,1.3211,0.00122245,0.00122245,0.00122245
75,1629.6,1.53701,0.74001,1.10705,0.79271,0.7348,0.78675,0.35228,2.02626,0.88263,1.34069,0.00121962,0.00121962,0.00121962
76,1650.95,1.565,0.76749,1.11626,0.78445,0.74,0.76411,0.34218,1.99147,0.8879,1.33111,0.00121679,0.00121679,0.00121679
77,1673.3,1.53343,0.72922,1.09321,0.76735,0.72336,0.74318,0.34805,1.99464,0.93562,1.31862,0.00121396,0.00121396,0.00121396
78,1694.51,1.52717,0.73721,1.1001,0.79006,0.71277,0.73351,0.34199,1.99653,0.90583,1.32581,0.00121113,0.00121113,0.00121113
79,1715.58,1.5113,0.73727,1.08316,0.75194,0.76013,0.76699,0.35034,2.00901,0.91287,1.34178,0.00120831,0.00120831,0.00120831
80,1737.14,1.49547,0.72237,1.084,0.76035,0.70288,0.73405,0.34804,2.00974,0.91792,1.33901,0.00120548,0.00120548,0.00120548
81,1758.42,1.50138,0.73556,1.08946,0.76196,0.73607,0.76258,0.36277,2.01154,0.90657,1.33104,0.00120265,0.00120265,0.00120265
82,1779.7,1.4989,0.72826,1.07878,0.81883,0.68315,0.75759,0.34368,2.02205,0.91051,1.33082,0.00119982,0.00119982,0.00119982
83,1801.22,1.49216,0.71869,1.0802,0.75536,0.70954,0.75458,0.34076,2.01062,0.89386,1.32447,0.00119699,0.00119699,0.00119699
84,1823.25,1.49615,0.72429,1.0939,0.84152,0.68286,0.76931,0.33875,2.01899,0.9132,1.32924,0.00119416,0.00119416,0.00119416
85,1844.03,1.49559,0.71604,1.08462,0.80117,0.72984,0.77317,0.34488,2.03976,0.89841,1.34878,0.00119133,0.00119133,0.00119133
86,1867.03,1.49868,0.72364,1.08872,0.79653,0.71844,0.78056,0.33664,2.03406,0.89346,1.3408,0.0011885,0.0011885,0.0011885
87,1889.22,1.49206,0.7112,1.07637,0.76385,0.73777,0.75855,0.34233,1.99989,0.87754,1.33144,0.00118567,0.00118567,0.00118567
88,1909.38,1.46625,0.70163,1.07254,0.78264,0.66086,0.73928,0.34041,2.06817,0.91868,1.3605,0.00118284,0.00118284,0.00118284
89,1931.8,1.49147,0.72482,1.0809,0.77263,0.73412,0.77802,0.35982,2.03546,0.91852,1.33811,0.00118001,0.00118001,0.00118001
90,1954.29,1.46785,0.71155,1.06547,0.79727,0.73673,0.76612,0.34682,2.0084,0.89654,1.32883,0.00117718,0.00117718,0.00117718
91,1974.84,1.46688,0.71162,1.07713,0.75001,0.71538,0.75331,0.35394,2.02653,0.89802,1.34589,0.00117435,0.00117435,0.00117435
92,1996.26,1.47287,0.71176,1.0657,0.78308,0.69658,0.74161,0.35147,2.05001,0.91299,1.36651,0.00117152,0.00117152,0.00117152
93,2018.25,1.45226,0.70065,1.07151,0.75859,0.68883,0.76709,0.35963,2.02669,0.89856,1.32811,0.00116869,0.00116869,0.00116869
94,2039.02,1.44788,0.69358,1.06655,0.80182,0.70974,0.7651,0.3547,1.99828,0.90134,1.33615,0.00116586,0.00116586,0.00116586
95,2060.21,1.46882,0.70785,1.07821,0.77523,0.7156,0.77057,0.3421,2.04998,0.91633,1.34451,0.00116303,0.00116303,0.00116303
96,2080.07,1.43532,0.68857,1.05931,0.77973,0.70127,0.76366,0.34821,2.00737,0.87943,1.33828,0.00116021,0.00116021,0.00116021
97,2101.2,1.4297,0.68924,1.05121,0.8176,0.68135,0.7649,0.3431,2.00822,0.88094,1.33687,0.00115738,0.00115738,0.00115738
